"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"France","FRA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.826","16.512","15.758","16.222","16.907","16.445","16.954","15.3","13.168","12.946","11.57","12.378","12.766","12.995","12.114","11.59","14.157","15.154","15.013","15.957","16.285","17.256","17.489","17.814","16.934","15.93","15.438","14.005","14.444","13.118","13.243","13.238",
"Faroe Islands","FRO","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.605","","","","","","","","","","",
"Gabon","GAB","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.021","12.72","12.385","10.993","10.629","9.235","35.26","9.333","8.743","7.665","8.074","7.44","7.533","6.638","6.852","7.025","8.206","10.69","11.822","12.051","12.144","11.832","9.774","8.399","7.409","6.702","6.162","5.272","6.445","7.486","6.488","6.685","7.196",
"Georgia","GEO","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.46","","","1.25","","","","","","","19.828","19.028","11.386","11.079","15.547","12.76","10.199","12.303","10.936","10.491","11.274","12.86","","","","",
"Ghana","GHA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.955","","","","","","","","","10.494","","","","","","5.539","","","","5.442","","","2.144","","6.109","","2.803","","","","2.948","2.166","","",
"Gibraltar","GIB","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.621","","","","","","","","","","","","5.871","","","","","6.005","","","","","",
"Gambia, The","GMB","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.734","","","","","","4.332","","","","","6.465","",
"Guinea-Bissau","GNB","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.433","1.185","","","3.515","","",
"Equatorial Guinea","GNQ","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.778","5.724","5.088","4.797","5.387","7.071","7.958","7.706","7.821","8.242","8.055","10.107","10.336","9.604","9.521","8.877","8.306","9.847","9.023","7.876","7.465","7.112","9.276","12.479","17.916","26.324","29.91","28.645","26.59","26.486","23.901","21.782","20.184","18.348","16.253","14.4","12.157","10.946",
"Grenada","GRD","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.086","10.474","11.321","13.391","","6.726","",
"Greenland","GRL","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.138","3.935","4.733","","2.722","","","","5.092","4.79","3.653","3.937","3.599","2.905","3.139","3.056","2.61","2.626","","2.83","2.374","2.563","",
"Guam","GUM","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.82","13.012","","","","","",
"High income","HIC","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8822553614709","13.662854870843","13.7894219906631","15.5505525240297","12.8731961791837","12.7903117889447","13.137283523952","13.6791697535718","13.648935640165","14.606479589902","20.1221248884306","12.667636416791","11.1308182063186","11.7721900841102","15.3996558254486","16.0490625518151","15.8388158197068","16.7316769436863","16.8694475440116","15.9134172925378","14.7575733370711","13.8371117169491","12.3358554050402","11.2890309835827","10.5041493755398","12.4504978701582","11.3621841357318","9.81773536931189","9.55486552451549","9.64408397219335",
"Hong Kong SAR, China","HKG","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3","","10.31","8.54","7.01","5.68","4.75","6.56","5.108","4.232","3.824","4.116","3.913","3.708","3.825","3.615","3.149","3.438","7.219","6.121","5.249","3.222","3.027",
"Honduras","HND","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.86","3.851","3.617","3.467","3.482","3.849","4.233","3.711","5.536","7.348","5.53","6.217","5.266","5.332","5.128","","9.12","9.412","5.423","4.43",
"Heavily indebted poor countries (HIPC)","HPC","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.661","14.017","13.501","11.24","12.177","12.124","9.816","9.84","12.743","17.065","18.456","21.502","25.414","21.325","17.283","19.497","11.099","9.139","10.209","11.043","11.535","11.856","10.958",
"Haiti","HTI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.037","","","","","","","","","","","","",
"Hungary","HUN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.345","15.642","13.708","11.499","11.177","11.35","12.253","12.432","14.273","16.76","17.533","18.905","23.166","25.06","24.985","24.842","23.652","18.463","17.306","13.153","11.075","10.117","9.529","10.79","10.918","11.525","12.809","13.726",
"IBRD only","IBD","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.28731319309467","","","","","","","","","","","","","","","","","","","","","10.9570297289165","","","",
"IDA & IBRD total","IBT","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.54940671615756","","","6.30720227558264","","","","","",
"Indonesia","IDN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.892","1.992","1.951","2.044","3.293","","3.64","3.474","4.038","4.751","5.081","3.847","5.354","4.506","4.844","5.853","5.823","5.972","6.466","4.959","4.174","3.829","3.553","3.354","2.94","3.088","3.065","2.613","2.969","2.377","2.868","2.252","1.985","2.051","",
"IDA only","IDX","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.437","","","","","","3.941","","","","","4.124","","","","","3.035","","2.954","","","","","","6.394","4.937","6.368","4.877","3.095","2.473","2.281",
"Not classified","INX","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.915","21.696","20.369","17.762","18.099","15.59","12.48","10.153","7.907","6.424","6.726","7.009","7.479","7.06","6.69","8.066","10.669","17.959","21.86","23.811","25.196","21.827","19.395","16.807","14.206","11.312","9.723","8.63","8.047","10.161","8.246","7.182","7.412",
"Iran, Islamic Rep.","IRN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.343","10.225","9.249","8.888","10.79","11.191","10.071","8.685","7.335","7.686","8.079","9.143","8.829","8.842","7.302","7.064","6.428","6.702","5.308","",
"Iraq","IRQ","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.571","","","","","7.465","","","","","","","","","14.662","","","",
"Iceland","ISL","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.59","6.81","6.58","5.04","2.938","2.982","2.857","4.51","5.519","4.479","3.794","4.612","3.603","4.614","10.241","10.509","10.223","10.205","8.26","6.96","6.147","4.53","4.745","4.527","5.719","8.388","9.959","7.29","6.729","6.554",
"Israel","ISR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.16","","12.84","13.11","14.27","14.16","14.96","16.89","16.33","14.9","14.4","13.91","10.54","11.67","11.24","8.55","12.944","10.945","10.537","9.539","9.571","6.849","6.778","6.146","7.01","7.377","6.873","5.874","4.27",
"Italy","ITA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.127","10.65","11.808","12.185","12.659","12.979","12.946","12.5","12.039","10.98","10.624","10.52","9.597","9.152","7.966","7.256","8.351","9.364","10.219","10.526","13.551","15.775","16.43","15.437","15.476","15.356","14.401","13.603","12.816","13.229","11.549","11.258","9.613",
"Jamaica","JAM","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.372","5.499","5.795","6.209","6.671","6.866","5.623","","5.122","4.859","3.634","2.952","3.245","2.921","2.146","1.389","",
"Jordan","JOR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.114","18.005","18.094","20.62","22.862","20.469","18.633","",
"Japan","JPN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.01","7.44","7.14","7.18","6.64","","","","6.7","","","","","","","",
"Kenya","KEN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.568","","","","","","9.313","","","","","","","","","","","1.587","","","4.145","","3.66","3.795","","",
"Kyrgyz Republic","KGZ","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.25","4.45","4.65","","","16.252","","10.61","15.07","14.98","13.42","11.06","10.66","8.57","6.45","","","","","","",
"Cambodia","KHM","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.273","0.941","","","3.219","2.369","","1.08","","","","0.94","1.076","0.594","0.868","0.316","1.447","0.462","0.482","0.474","0.574","0.219","","0.394","0.22","0.491","","0.259","",
"Kiribati","KIR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.325","","","","8.783","8.934","","","2.603","",
"St. Kitts and Nevis","KNA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.61","2.73","3.21","2.95","2.57","2.45","3.27","12.71","11.19","3.903","3.512","2.275","1.893","2.214","2.313","2.076","1.833","1.955","2.217","2.562","2.126","1.911","1.947","2.009","2.43","2.436","2.614","2.993","3.441","3.927","3.78","2.926","2.842","3.324",
"Kuwait","KWT","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.67","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4439625298174","","","11.757609272023","","11.2016822915316","13.357253772871","12.2873975979628","10.8668353898036","10.7205415411761","9.53277399649503","8.70418071852304","7.97152480584798","9.13049021035102","","7.48162182157416","6.97801785779505","6.38710039470145","6.1961616365766","7.1821215664401","10.4765271946207","11.8545334602628","11.4638325633652","11.4597570923615","13.9039483905511","12.4537302245837","9.31368306783218","8.15181723659945","6.77925144145303",
"Lao PDR","LAO","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.548","","","","","1.404","","3.361","","","","","0.94","","",
"Lebanon","LBN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.76","","","","","","","","","","","","9.544","","","","","",
"Liberia","LBR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.463","","","","1.814","","2.769","4.612","","","","","","","",
"Libya","LBY","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.543","25.241","20.996","24.924","27.361","19.549","15.367","11.95",
"Latin America & Caribbean","LCN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4095551939012","12.2664619729934","10.895066426297","10.737501968789","9.26626183217207","8.45070974311491","7.86248990213694","9.08721551302255","","7.43694012268917","6.95009795177667","6.41865698608765","6.26080231657224","7.38644005960142","10.0912627595282","11.4012752674597","11.2678940961999","11.2824796419858","13.9366747826733","12.3696399042745","9.28364478012431","8.20603281232957","6.92092743515181",
"Least developed countries: UN classification","LDC","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3.273","3.101","3.17","3.041","3.036","3.131","3.058","2.577","2.774","3.107","3.656","3.145","3.112","","",
"Lower middle income","LMC","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.30916470598518","","4.25742121379403","","","","","","6.21983890666527","5.90789474558944","6.30114329011408","5.69045616077802","3.98485029179588","3.22624496767209","",
"Low & middle income","LMY","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.812","","","","","18.023",
"Late-demographic dividend","LTE","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.66265558580047","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.71","18.741","18.989","23.014","23.027","18.056","21.35","13.934","14.448","10.252","7.192","12.454","29.538","39.375","37.728","33.916","32.398","29.536","26.062","24.421","20.212","17.126","18.124","22.477","16.441","16.603","18.065","17.263",
"Luxembourg","LUX","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.185","3.499","4.753","3.665","4.903","3.84","","4.086","3.662","2.52","4.648","3.981","7.01","6.373","6.942","6.319","7.177","8.314","6.174","8.474","8.349","10.316","10.964","10.491","11.021","8.866","7.928","8.08","11.614","8.952","8.385","9.642","11.306",
"Latvia","LVA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.732","17.635","21.064","22.058","22.788","20.829","18.194","16.248","14.631","10.551","14.425","30.929","32.95","29.102","26.536","25.088","23.846","21.931","20.605","16.438","17.02","12.775","17.049","15.484","14.31","15.904","14.869",
"Macao SAR, China","MAC","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.56","3.24","4.74","6.78","7.32","6.8","7.17","6.89","","4.83","4.16","3.57","3.51","4.45","3.52","3.1","2.34","2.28","1.82","1.92","2.28","","","","","","","","",
"St. Martin (French part)","MAF","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","10.301","","","","","","","","","","","","30.1","19.02","","","","","","","12.18","14.51","27.805","","","","","","","10.14","10.32","","22.434","","","","","","","14.64","13.05","","",
"Monaco","MCO","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.13","","","","","","","","",
"Moldova","MDA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.574","5.722","5.086","4.655","4.65","3.791","3.177","1.695","0.978","1.378","1.125","1.055","0.648","0.685","0.525","1.154","0.923","0.898","0.616","1.26","0.764","0.486","0.661","1.244","1.1",
"Madagascar","MDG","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.391","","17.72","","9.08","","","","","","","0.425","","","1.139","","","","","","","","","",
"Maldives","MDV","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.735","","","","","5.587","","8.859","","","5.182","","","","","",
"Middle East, North Africa, Afghanistan & Pakistan","MEA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.28904661947903","8.58485364486218","","10.722573746585","","","","","6.87517862609263","7.42344175682232","8.00689004265828","","","",
"Mexico","MEX","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.34","4.85","5.22","","2.66","2.81","5.7","3.152","3.526","4.023","3.707","3.709","3.772","4.103","5.759","5.581","5.414","5.015","5.044","4.794","4.207","3.605","3.196","3.016","3.223","4.181","3.506","2.737","2.364","2.261",
"Marshall Islands","MHL","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.168","","12.795","","","",
"Middle income","MIC","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North Macedonia","MKD","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.153","43.544","44.066","42.209","40.488","42.247","38.732","38.77","33.963","32.027","30.36","30.427","27.615","24.732","23.471","21.848","23.061","22.011","","19.03",
"Mali","MLI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.615","","","","11.371","7.155","12.201","2.117","11.448","2.15","4.304","8.782","","3.181","","",
"Malta","MLT","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.988","8.322","8.199","9.021","9.379","8.969","9.342","9.484","9.006","8.825","7.437","6.07","5.592","4.812","6.491","5.01","3.616","5.673","4.15",
"Myanmar","MMR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.893","0.737","","0.952","0.497","0.167","1.161","","","","",
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","MNA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.05114772843388","9.31734950158795","8.49672798547704","","10.7309066029613","","","","","7.27885773266883","7.87848964917009","8.39308850195058","","","",
"Montenegro","MNE","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.135","36.043","41.66","32.283","27.195","23.99","22.298","20.343","25.755","33.683","28.826","20.858","19.236","",
"Mongolia","MNG","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.149","","","6.197","","5.004","3.482","5.326","4.214","3.368","3.197","3.738","3.092","4.014","3.152","2.953","6.338","4.631","5.359","4.761","4.252","",
"Northern Mariana Islands","MNP","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.15","","","","","","","8.86","","",
"Mauritania","MRT","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.457","","","","","15.779","","20.068","","","","","",
