"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.092","","","","3.109","2.596","","3.816","","","3.23","3.634","","","","","3.74","2.707","",
"Bulgaria","BGR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.999","33.15","29.645","24.575","20.896","19.434","19.45","16.69","13.601","15.236","21.044","26.014","27.908","28.126","27.21","23.714","20.73","18.478","14.637","12.173","14.06","13.966","12.145","11.981","13.803",
"Bahrain","BHR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.53","1.5","","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.87","","","","","","","","","","","","","","","","","","","","","","","","","18.349","","","","16.86","",
"Bosnia and Herzegovina","BIH","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.03","","","","","37.102","37.802","28.39","31.119","31.001","30.925","27.752","29.445","30.5","28.928","26.292","19.716","20.133","15.005","19.726","16.737","16.087","13.894","",
"Belarus","BLR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.392","13.248","10.522","8.709","11.043","11.071","10.649","10.547","",
"Belize","BLZ","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.73","","","","","","","16.02","8.74","8.557","7.756","6.665","6.545","11.424","9.937","","","","","",
"Bermuda","BMU","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.07","","","","","","","","","4.55","4.2","","12","","","","","","","","","","","","",
"Bolivia","BOL","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.296","5.276","5.24","2.807","3.074","5.88","1.52","","5.052","3.57","5.708","4.531","","2.399","5.006","4.167","3.531","2.437","2.887","","2.158","1.625","2.838","1.789","2.917","2.763","2.815","2.486","2.913","6.711","3.281","2.447","1.77","1.814",
"Brazil","BRA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.703","6.288","","7.453","","","8.98","10.024","11.136","12.552","13.404","","12.864","12.588","13.075","11.775","12.416","11.199","10.516","9.305","10.685","","8.735","7.005","6.884","6.653","8.827","13.65","15.479","14.82","14.639","16.855","16.28","11.877","10.549","8.988",
